company,id,city,dep,sec
AK SİGORTA,1263,İstanbul,CS,SİGORTA
AK YAPI AŞ.,6256,Ankara,IE,Furniture manufacturing
AK-KAR OTOMOTİV LTD.ŞTİ.,1269,Erzincan,IE,
AK-PRES METAL YEDEK PARÇA SAN.VE TİC.A.Ş.,1271,Bursa,IE ME,
AK-TOPS TEKSTİL SANAYİ A.Ş.,2183,Yalova,IE ME,
Akana Mühendislik,4858,Ankara,EE,"Ar-Ge, Tasarım, Otomasyon, Robotiks ,Üretim"
Akana Mühendislik,6096,Ankara,ME,"Ar-Ge, Tasarım, Otomasyon, Robotiks ,Üretim"
Akana Mühendislik,6097,Ankara,ME,"Ar-Ge, Tasarım, Otomasyon, Robotiks ,Üretim.."
AKBANK T.A.Ş.,1265,İstanbul,CS IE,BANKACILIK
Akbaşlar Holding,4634,Bursa,IE,"tekstil, enerji, turizm, gıda, inşaat, savunma sanayi"
Akçansa Çimento San. ve Tic. A.Ş.,2489,Ankara,IE,Çimento
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,4822,Çanakkale,ME,Çimento
"AKÇİM MADENCİLİK VE ÇİMENTO SANAYİ AŞ
PROJE YÖNETİMİ",2182,Kocaeli,IE,
AKDAŞ DÖKÜM SAN.VE TİC.A.Ş.,1266,Ankara,IE ME,
Akdeniz Cam Alüminyum A.Ş.,4447,Konya,IE,Cam Alüminyum İşleme
Akdeniz Çivi&Tel (Sertel Tools),6022,Mersin,IE,
AKE Asansör,5405,Antalya,IE,Elevator Systems
AKENERJİ,1262,İstanbul,IE,ENERJİ
AKENERJİ HİDROELEKTRİK SANTRALİ,4437,Bursa,ME,Enerji
Aker Tekstil Kumaşcılık San. ve Tic. Ltd. Şti.,3434,İstanbul,IE,Textile
akg gazbeton,3695,İzmir,IE,İnşaat
Akgün Bilgisayar Program ve Hizmetleri San. Tic. Ltd. Şti.,3005,Trabzon,CS,Yazılım
AKGÜN BİLGİSAYAR PROGRAMLAMA VE PAZARLAMA LTD. ŞTİ,1267,Ankara,CS,Yazılım
AKGÜN YAZILIM,4579,Ankara,CS,Yazılım
AKILLAR PETROL İNŞ.TAR.TUR.SAN.TİC.VE PAZ.LTD.ŞTİ.,1268,Antalya,IE,
Akıllı Yapılar,2597,Ankara,EE,ARGE
AKIM METAL SAN. VE TİC. A.Ş.,4549,İstanbul,ME,Metal İşleme ve Metal Enjeksiyon
